year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature
2025,8,21,0,55,30,17,"20,6"
2025,8,21,2,0,0,17,"20,6"
2025,8,21,3,4,30,18,"20,8"
2025,8,21,4,9,0,20,"20,8"
2025,8,21,5,13,30,14,"20,2"
2025,8,21,6,18,0,12,20
2025,8,21,7,22,30,13,"19,9"
2025,8,21,8,27,0,13,"19,7"
2025,8,21,9,31,30,13,"19,6"
2025,8,21,10,36,0,13,"19,3"
2025,8,21,11,40,30,13,"19,3"
2025,8,21,12,45,0,13,"19,4"
2025,8,21,13,49,30,13,"19,6"
2025,8,21,14,54,0,12,"20,1"
2025,8,21,15,58,30,13,"20,5"
2025,8,21,17,3,0,11,21
2025,8,21,18,7,30,13,"20,9"
2025,8,21,19,12,0,14,"20,9"
2025,8,21,20,16,30,15,"20,9"
2025,8,21,21,21,0,16,"20,9"
2025,8,21,22,25,30,17,"20,9"
2025,8,21,23,30,0,17,"20,7"
2025,8,22,0,34,30,17,"20,7"
2025,8,22,1,39,0,17,"20,6"
2025,8,22,2,43,30,16,"20,6"
2025,8,22,3,48,0,16,"20,5"
2025,8,22,4,52,30,15,"20,4"
2025,8,22,5,57,0,15,"20,2"
2025,8,22,7,1,30,14,"20,1"
2025,8,22,8,6,0,13,20
2025,8,22,9,10,30,12,20
2025,8,22,10,15,0,13,"19,9"
2025,8,22,11,19,30,13,"19,8"
2025,8,22,12,24,0,10,"19,8"
2025,8,22,13,28,30,13,20
2025,8,22,14,33,0,15,"20,4"
2025,8,22,15,37,30,15,"20,8"
2025,8,22,16,42,0,15,21
2025,8,22,17,46,30,15,21
2025,8,22,18,51,0,16,21
2025,8,22,19,55,30,16,21
2025,8,22,21,0,0,16,21
2025,8,22,22,4,30,16,21
2025,8,22,23,9,0,16,"21,2"
2025,8,23,0,13,30,17,"21,2"
2025,8,23,1,18,0,17,"21,1"
2025,8,23,2,22,30,17,21
2025,8,23,3,27,0,17,21
2025,8,23,4,31,30,14,"20,7"
2025,8,23,5,36,0,12,"20,5"
2025,8,23,6,40,30,11,"20,3"
2025,8,23,7,45,0,12,"20,2"
2025,8,23,8,49,30,12,20
2025,8,23,9,54,0,12,20
2025,8,23,10,58,30,13,"19,9"
2025,8,23,12,3,0,13,"19,9"
2025,8,23,13,7,30,13,"19,9"
2025,8,23,14,12,0,13,"20,1"
2025,8,23,15,16,30,14,"20,2"
2025,8,23,16,21,0,15,"20,4"
2025,8,23,17,25,30,15,"20,7"
2025,8,23,18,30,0,15,"20,8"
2025,8,23,19,34,30,16,21
2025,8,23,20,39,0,17,21
2025,8,23,21,43,30,18,"21,1"
2025,8,23,22,48,0,20,"21,2"
2025,8,23,23,52,30,18,"21,3"
2025,8,24,0,57,0,18,"21,2"
2025,8,24,2,1,30,16,"21,1"
2025,8,24,3,6,0,15,"20,8"
2025,8,24,4,10,30,14,"20,5"
2025,8,24,5,15,0,13,"20,4"
2025,8,24,6,19,30,12,"20,2"
2025,8,24,7,24,0,13,20
2025,8,24,8,28,30,13,20
2025,8,24,9,33,0,15,"19,9"
2025,8,24,10,37,30,15,"19,8"
2025,8,24,11,42,0,16,"19,7"
2025,8,24,12,46,30,17,"19,8"
2025,8,24,13,51,0,17,20
2025,8,24,14,55,30,18,"20,2"
2025,8,24,16,0,0,18,"20,9"
2025,8,24,17,4,30,16,"21,4"
2025,8,24,18,9,0,15,"21,7"
2025,8,24,19,13,30,15,"21,9"
2025,8,24,20,18,0,17,"21,9"
2025,8,24,21,22,30,20,"21,6"
2025,8,24,22,27,0,21,"21,4"
2025,8,24,23,31,30,23,21
2025,8,25,0,36,0,22,"21,1"
2025,8,25,1,40,30,21,21
2025,8,25,2,45,0,20,21
2025,8,25,3,49,30,20,21
2025,8,25,4,54,0,20,21
2025,8,25,5,58,30,20,21
2025,8,25,7,3,0,20,"20,9"
2025,8,25,8,7,30,19,"20,8"
2025,8,25,9,12,0,19,"20,7"
2025,8,25,12,25,30,16,"21,3"
2025,8,25,13,30,0,17,"20,5"
2025,8,25,14,34,30,18,"20,7"
2025,8,25,15,39,0,18,"20,9"
2025,8,25,16,43,30,18,21
2025,8,25,17,48,0,17,"21,1"
2025,8,25,18,52,30,18,"21,3"
2025,8,25,19,57,0,18,"21,4"
2025,8,25,21,1,30,19,"21,4"
2025,8,25,22,6,0,18,"21,5"
2025,8,25,23,10,30,17,"21,5"
2025,8,26,0,15,0,17,"21,4"
2025,8,26,1,19,30,19,"21,9"
2025,8,26,2,24,0,17,"21,5"
2025,8,26,3,28,30,16,"21,2"
2025,8,26,4,33,0,15,21
2025,8,26,5,37,30,14,"20,9"
2025,8,26,6,42,0,13,"20,8"
2025,8,26,12,4,30,15,"20,7"
2025,8,26,13,9,0,16,21
2025,8,26,14,13,30,15,21
2025,8,26,15,18,0,16,21
2025,8,26,16,22,30,16,"21,1"
2025,8,26,17,27,0,17,"21,7"
2025,8,26,18,31,30,16,"21,6"
2025,8,26,19,36,0,16,"21,6"
2025,8,26,20,40,30,16,"21,6"
2025,8,26,21,45,0,17,"21,6"
2025,8,26,22,49,30,17,"21,6"
2025,8,26,23,54,0,17,"21,5"
2025,8,27,0,58,30,17,"21,3"
2025,8,27,2,3,0,17,"21,3"
2025,8,27,3,7,30,16,"21,2"
2025,8,27,4,12,0,16,"21,2"
2025,8,27,5,16,30,16,"21,1"
2025,8,27,6,21,0,15,21
2025,8,27,7,25,30,15,21
2025,8,27,8,30,0,14,"20,8"
2025,8,27,9,34,30,13,"20,7"
2025,8,27,10,39,0,13,"20,6"
2025,8,27,11,43,30,14,"20,5"
2025,8,27,12,48,0,16,"21,2"
2025,8,27,13,52,30,17,"21,6"
2025,8,27,14,57,0,15,"21,2"
2025,8,27,16,1,30,15,"21,3"
2025,8,27,17,6,0,15,"21,5"
2025,8,27,18,10,30,15,"21,7"
2025,8,27,19,15,0,15,"21,8"
2025,8,27,20,19,30,15,"21,9"
2025,8,27,21,24,0,15,22
2025,8,27,22,28,30,16,22
2025,8,27,23,33,0,16,22
2025,8,28,0,37,30,16,"22,4"
2025,8,28,1,42,0,18,"22,7"
2025,8,28,2,46,30,19,"22,7"
2025,8,28,3,51,0,15,"21,9"
2025,8,28,4,55,30,15,"21,6"
2025,8,28,6,0,0,13,"21,4"
2025,8,28,7,4,30,13,"21,2"
2025,8,28,8,9,0,12,"21,1"
2025,8,28,9,13,30,11,21
2025,8,28,10,18,0,11,21
2025,8,28,11,22,30,11,"20,9"
2025,8,28,12,27,0,12,"21,1"
2025,8,28,13,31,30,13,"21,1"
2025,8,28,14,36,0,13,"21,6"
2025,8,28,15,40,30,15,22
2025,8,28,16,45,0,14,"22,1"
2025,8,28,17,49,30,15,"22,1"
2025,8,28,18,54,0,15,"22,2"
2025,8,28,19,58,30,15,"22,2"
2025,8,28,21,3,0,15,"22,2"
2025,8,28,22,7,30,15,"22,1"
2025,8,28,23,12,0,15,22
2025,8,29,0,16,30,15,"21,9"
2025,8,29,1,21,0,15,"21,8"
2025,8,29,2,25,30,15,"21,8"
2025,8,29,3,30,0,14,"21,9"
2025,8,29,4,34,30,12,"21,8"
2025,8,29,5,39,0,13,"21,6"
2025,8,29,6,43,30,12,"21,5"
2025,8,29,7,48,0,12,"21,4"
2025,8,29,8,52,30,12,"21,2"
2025,8,29,9,57,0,12,"21,2"
2025,8,29,11,1,30,11,21
2025,8,29,12,6,0,12,21
2025,8,29,13,10,30,12,"21,1"
2025,8,29,14,15,0,12,"21,4"
2025,8,29,15,19,30,14,"21,8"
2025,8,29,16,24,0,15,22
2025,8,29,17,28,30,14,"22,3"
2025,8,29,18,33,0,12,"22,1"
2025,8,29,19,37,30,11,22
2025,8,29,20,42,0,11,22
2025,8,29,21,46,30,11,22
2025,8,29,22,51,0,12,"21,9"
2025,8,29,23,55,30,15,22
2025,8,30,1,0,0,12,"21,8"
2025,8,30,2,4,30,12,22
2025,8,30,3,9,0,11,"21,6"
2025,8,30,4,13,30,11,"21,4"
2025,8,30,5,18,0,10,"21,2"
2025,8,30,6,22,30,10,"21,1"
2025,8,30,7,27,0,8,21
2025,8,30,8,31,30,8,21
2025,8,30,9,36,0,8,"20,8"
2025,8,30,10,40,30,10,"20,7"
2025,8,30,11,45,0,10,"20,7"
2025,8,30,12,49,30,10,"20,8"
2025,8,30,13,54,0,11,21
2025,8,30,14,58,30,12,"21,6"
2025,8,30,16,3,0,12,"21,8"
2025,8,30,17,7,30,11,22
2025,8,30,18,12,0,11,"21,8"
2025,8,30,19,16,30,11,"21,8"
2025,8,30,20,21,0,11,"21,9"
2025,8,30,21,25,30,11,"21,9"
2025,8,30,22,30,0,13,"22,1"
2025,8,30,23,34,30,13,"21,8"
2025,8,31,0,39,0,14,"22,3"
2025,8,31,1,43,30,10,"21,6"
2025,8,31,2,48,0,10,"21,4"
2025,8,31,3,52,30,11,"21,2"
2025,8,31,4,57,0,8,21
2025,8,31,6,1,30,8,21
2025,8,31,7,6,0,8,"20,9"
2025,8,31,8,10,30,8,"20,7"
2025,8,31,9,15,0,10,"20,6"
2025,8,31,10,19,30,8,"20,4"
2025,8,31,11,24,0,8,"20,3"
2025,8,31,12,28,30,8,"20,3"
2025,8,31,13,33,0,5,"20,5"
2025,8,31,14,37,30,10,"21,1"
2025,8,31,15,42,0,8,"21,3"
2025,8,31,16,46,30,8,"21,5"
2025,8,31,17,51,0,10,"21,6"
2025,8,31,18,55,30,11,22
2025,8,31,20,0,0,11,22
2025,8,31,21,4,30,11,"22,1"
2025,8,31,22,9,0,12,"22,2"
2025,8,31,23,13,30,12,22
2025,9,1,0,18,0,13,22
2025,9,1,1,22,30,14,"22,2"
2025,9,1,2,27,0,12,22
2025,9,1,3,31,30,10,"21,4"
2025,9,1,4,36,0,10,"21,2"
2025,9,1,5,40,30,8,21
2025,9,1,6,45,0,8,"20,9"
2025,9,1,7,49,30,5,"20,8"
2025,9,1,8,54,0,5,"20,6"
2025,9,1,9,58,30,5,"20,5"
2025,9,1,11,3,0,5,"20,3"
2025,9,1,12,7,30,8,21
2025,9,1,13,12,0,8,21
2025,9,1,14,16,30,10,"20,9"
2025,9,1,15,21,0,10,21
2025,9,1,16,25,30,8,"21,2"
2025,9,1,17,30,0,10,"21,4"
2025,9,1,18,34,30,10,"21,6"
2025,9,1,19,39,0,10,"21,7"
2025,9,1,20,43,30,10,"21,7"
2025,9,1,21,48,0,11,"21,8"
2025,9,1,22,52,30,11,"21,8"
2025,9,1,23,57,0,11,"21,7"
2025,9,2,1,1,30,13,"22,2"
2025,9,2,2,6,0,14,"22,4"
2025,9,2,3,10,30,11,"21,7"
2025,9,2,4,15,0,10,"21,4"
2025,9,2,5,19,30,10,"21,2"
2025,9,2,6,24,0,8,"21,1"
2025,9,2,7,28,30,8,21
2025,9,2,8,33,0,8,21
2025,9,2,9,37,30,8,"20,9"
2025,9,2,10,42,0,8,"20,8"
2025,9,2,11,46,30,8,"20,8"
2025,9,2,12,51,0,8,"21,1"
2025,9,2,13,55,30,10,"21,5"
2025,9,2,15,0,0,10,"21,7"
2025,9,2,16,4,30,10,"21,8"
2025,9,2,17,9,0,10,22
2025,9,2,18,13,30,10,"22,2"
2025,9,2,19,18,0,10,"22,2"
2025,9,3,2,49,30,12,"21,8"
2025,9,3,3,54,0,11,"21,9"
2025,9,3,4,58,30,10,"21,7"
2025,9,3,6,3,0,10,"21,5"
2025,9,3,7,7,30,10,"21,3"
2025,9,3,8,12,0,10,"21,2"
2025,9,3,9,16,30,10,21
2025,9,3,10,21,0,10,21
2025,9,3,11,25,30,8,21
2025,9,3,12,30,0,10,21
2025,9,3,13,34,30,10,"21,6"
2025,9,3,14,39,0,10,"21,7"
2025,9,3,15,43,30,10,"21,7"
2025,9,3,16,48,0,10,"21,9"
2025,9,3,17,52,30,11,"22,1"
